Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
221,2025-04-20,8022,TPC,Terhathum Power Company Limited,531,549.2,531,535.23,9504,5130143.5,538.75,671.6,410,2025-04-20T14:59:31.813638,536,98,539.78,2140.92
222,2025-04-20,8023,MMF1,Mega Mutual Fund -1,8.93,8.97,8.75,8.77,30221,266187.41,8.82,9.72,6.53,2025-04-20T14:59:43.534497,8.77,34,8.8,1096.25
223,2025-04-20,8024,NBF3,Nabil Balanced Fund-3,9.8,9.99,9.45,9.49,628138,6242098.32,9.8,10.45,7.05,2025-04-20T14:58:05.811482,9.48,67,9.93,1186.25
224,2025-04-20,8043,CBLD88,Civil Bank Debenture 2088,1134,1179,1134,1179,652,760231.6,1134,1254.2,1018,2025-04-20T13:42:08.702967,1179,8,1165.99,3537
225,2025-04-20,8044,EBLD86,Everest Bank Limited,1057.1,1057.1,1057,1057,50,52854,1051.1,1080,937,2025-04-20T14:18:50.797448,1057,2,1057.08,905.62
226,2025-04-20,8045,GVL,Green Ventures Limited,470,471,460.1,462.06,26754,12397103.5,468.84,699.9,402.4,2025-04-20T14:57:28.344969,465,229,463.37,15883.31
227,2025-04-20,8063,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,3318,3443,3315,3372.87,6011,20225367.9,3385.64,6600,1295,2025-04-20T14:59:53.728733,3335,115,3364.72,3580.24
228,2025-04-20,8066,RFPL,River Falls Power Limited,665,665,653,655.54,19318,12721679.7,663.67,1484,322.9,2025-04-20T14:59:58.526576,653.2,213,658.54,4588.78
229,2025-04-20,8070,DORDI,Dordi Khola Jal Bidyut Company Limited,378,378,365,366.41,10686,3943246.9,371.37,696,356.4,2025-04-20T14:59:40.900552,367,117,369.01,7725.83
230,2025-04-20,8076,HHL,Himalayan Hydropower Limited,470.3,490,470.3,481.62,9489,4595666.2,479.8,635,330.5,2025-04-20T14:59:41.023375,483,120,484.31,5273.74
231,2025-04-20,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,512.5,515,500,502.73,11405,5776810.5,511.45,649.5,308.1,2025-04-20T14:59:44.380117,500.6,108,506.51,8008.49
232,2025-04-20,8102,MHL,Mandakini Hydropower Limited,705,712,696.2,697.18,4320,3038281,706.85,1101,384,2025-04-20T14:59:14.434142,697,71,703.3,4509.13
233,2025-04-20,8106,GIBF1,Global IME Balanced Fund-1,10.06,10.18,10.06,10.18,5400,54779,10.18,10.72,7.92,2025-04-20T14:21:35.870187,10.18,13,10.14,1044.23
234,2025-04-20,8122,PPL,People's Power Limited,515,519,509,514.49,7099,3654934.7,519.05,683.4,428,2025-04-20T14:59:57.265687,511,109,514.85,3254.66
235,2025-04-20,8123,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1562,1594,1520,1545.59,1817,2800222.5,1562.95,2250,1091,2025-04-20T14:59:45.459362,1532.1,51,1541.12,2057.18
236,2025-04-20,8133,PHCL,Peoples Hydropower Company Limited,608.8,617,600,610.56,51558,31313758.6,621.09,745.6,275.1,2025-04-20T14:59:51.714179,610,242,607.35,19537.92
237,2025-04-20,9135,BHPL,Barahi Hydropower Public Limited,1016.4,1111,1016.4,1047.88,10961,11367136.5,1037.14,1275,449,2025-04-20T14:47:17.895662,1047.9,101,1037.05,2619.7
238,2025-04-20,9138,NIBLGF,NIBL Growth Fund,8.53,8.93,7.84,8.82,329880,2943469.5,8.7,10.64,7.69,2025-04-20T14:54:06.031882,8.82,33,8.92,1164.24
239,2025-04-20,9147,SPL,Shuvam Power Limited,865,882.3,858,866.75,1910,1646309,873.99,1109.6,623.5,2025-04-20T14:59:39.07329,874,38,861.94,1733.5
240,2025-04-20,9148,SMH,Super Mai Hydropower Limited,973,975,914,920.38,1538,1446796.8,954.31,1283,640,2025-04-20T14:58:43.747652,922,37,940.7,4924.03
241,2025-04-20,9149,MKHC,Maya Khola Hydropower Company Limited,500,510,499,504.39,12726,6382108,508.2,627,298,2025-04-20T14:59:57.610477,500.2,174,501.5,5043.9
242,2025-04-20,9151,KDL,Kalinchowk Darshan Limited,1120,1120,1101.1,1103.92,1567,1735576.7,1123.32,1381,752.1,2025-04-20T14:56:34.965284,1102.6,47,1107.57,6623.52
243,2025-04-20,9154,SFEF,Sunrise Focused Equity Fund,9.38,9.46,9.38,9.46,1200,11290,9.51,10.66,7.6,2025-04-20T14:06:13.388176,9.46,5,9.4,946
244,2025-04-20,9158,MHCL,Molung Hydropower Company Limited,537.1,542,520,523.76,18774,9884981,537.25,655,355,2025-04-20T14:59:59.852932,521,146,526.52,4203.17
